Product Name,Colors,Pic urls,Prod care
Slim-fit jacket in virgin wool and cotton,Beige,https://images.hugoboss.com/is/image/boss/hbeu50520393_376_100?wid=768&qlt=80,"Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Slim-fit jacket in a performance-stretch wool blend,Light Green,"https://images.hugoboss.com/is/image/boss/hbeu50521547_373_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50521547_373_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50521547_373_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50521547_373_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50521547_373_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50521547_373_100?wid=768&qlt=80","Cold, gentle machine wash; reduced spin speed. , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Relaxed-fit jacket in checked virgin-wool serge,Light Brown,"https://images.hugoboss.com/is/image/boss/hbeu50518673_260_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50518673_260_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50518673_260_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50518673_260_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50518673_260_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50518673_260_100?wid=768&qlt=80","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Extra-slim-fit jacket in virgin-wool serge,"Dark Blue ,Black","https://images.hugoboss.com/is/image/boss/hbeu50469181_401_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469181_401_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469181_401_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469181_401_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469181_401_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469181_401_100?wid=768&qlt=80","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
"Slim-fit jacket in wool, silk and linen",Dark Green,"https://images.hugoboss.com/is/image/boss/hbeu50514412_344_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514412_344_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514412_344_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514412_344_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514412_344_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514412_344_100?wid=768&qlt=80","30°C mild fine wash , Do Not Bleach , Tumble Dry Medium Heat , Iron Medium Heat , Do not chemical dry clean"
Regular-fit jacket in virgin-wool serge,"Black ,Dark Blue ,Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50469172_001_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469172_001_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469172_001_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469172_001_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469172_001_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469172_001_100?wid=768&qlt=80","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit double-breasted jacket in stretch cotton,Black,"https://images.hugoboss.com/is/image/boss/hbeu50514706_001_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514706_001_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514706_001_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514706_001_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514706_001_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50514706_001_100?wid=768&qlt=80","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Regular-fit jacket in stretch virgin wool,"Blue ,Blue ,Dark Grey ,Black","https://images.hugoboss.com/is/image/boss/hbeu50479996_419_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479996_419_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479996_419_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479996_419_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479996_419_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479996_419_100?wid=768&qlt=80","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton-towelling relaxed-fit hoodie with logo detail,,https://images.hugoboss.com/is/image/boss/hbeu50511072_404_100?wid=768&qlt=80,"30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Quick-dry shorts with decorative reflective logo,"Light Brown ,Black","https://images.hugoboss.com/is/image/boss/hbeu50517759_334_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517759_334_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517759_334_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517759_334_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517759_334_100?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517759_334_240?wid=768&qlt=80","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
